longitude,latitude,source,countryCode,basisOfRecord
-36.408836,-9.660672,IMA,,PreservedSpecimen
-49.32,-24.66,FURB,,PreservedSpecimen
-52.8731,-10.8339,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-64.435,-16.7261,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-64.435,-16.7261,F,,PreservedSpecimen
-64.435,-16.7261,F,,PreservedSpecimen
-64.435,-16.7261,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-72.5,5.5,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
-64.435,-16.7261,F,,PreservedSpecimen
-64.435,-16.7261,F,,PreservedSpecimen
-74.14,-9.1839,F,,PreservedSpecimen
